"GEO_ID","id"
"C24050_021E","Estimate!!Total!!Management, business, science, and arts occupations!!Transportation and warehousing, and utilities"
"C24050_021M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Transportation and warehousing, and utilities"
"C24050_022E","Estimate!!Total!!Management, business, science, and arts occupations!!Information"
"C24050_022M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Information"
"C24050_023E","Estimate!!Total!!Management, business, science, and arts occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_023M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_024E","Estimate!!Total!!Management, business, science, and arts occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_024M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_025E","Estimate!!Total!!Management, business, science, and arts occupations!!Educational services, and health care and social assistance"
"C24050_025M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Educational services, and health care and social assistance"
"C24050_026E","Estimate!!Total!!Management, business, science, and arts occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_026M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_027E","Estimate!!Total!!Management, business, science, and arts occupations!!Other services, except public administration"
"C24050_027M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Other services, except public administration"
"C24050_028E","Estimate!!Total!!Management, business, science, and arts occupations!!Public administration"
"C24050_028M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Public administration"
"C24050_029E","Estimate!!Total!!Service occupations"
"C24050_029M","Margin of Error!!Total!!Service occupations"
"C24050_030E","Estimate!!Total!!Service occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_030M","Margin of Error!!Total!!Service occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_031E","Estimate!!Total!!Service occupations!!Construction"
"C24050_031M","Margin of Error!!Total!!Service occupations!!Construction"
"C24050_032E","Estimate!!Total!!Service occupations!!Manufacturing"
"C24050_032M","Margin of Error!!Total!!Service occupations!!Manufacturing"
"C24050_033E","Estimate!!Total!!Service occupations!!Wholesale trade"
"C24050_033M","Margin of Error!!Total!!Service occupations!!Wholesale trade"
"C24050_034E","Estimate!!Total!!Service occupations!!Retail trade"
"C24050_034M","Margin of Error!!Total!!Service occupations!!Retail trade"
"C24050_035E","Estimate!!Total!!Service occupations!!Transportation and warehousing, and utilities"
"C24050_035M","Margin of Error!!Total!!Service occupations!!Transportation and warehousing, and utilities"
"C24050_036E","Estimate!!Total!!Service occupations!!Information"
"C24050_036M","Margin of Error!!Total!!Service occupations!!Information"
"C24050_037E","Estimate!!Total!!Service occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_037M","Margin of Error!!Total!!Service occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_038E","Estimate!!Total!!Service occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_038M","Margin of Error!!Total!!Service occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_039E","Estimate!!Total!!Service occupations!!Educational services, and health care and social assistance"
"C24050_039M","Margin of Error!!Total!!Service occupations!!Educational services, and health care and social assistance"
"C24050_040E","Estimate!!Total!!Service occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_040M","Margin of Error!!Total!!Service occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_041E","Estimate!!Total!!Service occupations!!Other services, except public administration"
"C24050_041M","Margin of Error!!Total!!Service occupations!!Other services, except public administration"
"C24050_042E","Estimate!!Total!!Service occupations!!Public administration"
"C24050_042M","Margin of Error!!Total!!Service occupations!!Public administration"
"C24050_043E","Estimate!!Total!!Sales and office occupations"
"C24050_043M","Margin of Error!!Total!!Sales and office occupations"
"C24050_044E","Estimate!!Total!!Sales and office occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_044M","Margin of Error!!Total!!Sales and office occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_045E","Estimate!!Total!!Sales and office occupations!!Construction"
"C24050_045M","Margin of Error!!Total!!Sales and office occupations!!Construction"
"C24050_046E","Estimate!!Total!!Sales and office occupations!!Manufacturing"
"C24050_046M","Margin of Error!!Total!!Sales and office occupations!!Manufacturing"
"C24050_047E","Estimate!!Total!!Sales and office occupations!!Wholesale trade"
"C24050_047M","Margin of Error!!Total!!Sales and office occupations!!Wholesale trade"
"C24050_048E","Estimate!!Total!!Sales and office occupations!!Retail trade"
"C24050_048M","Margin of Error!!Total!!Sales and office occupations!!Retail trade"
"C24050_049E","Estimate!!Total!!Sales and office occupations!!Transportation and warehousing, and utilities"
"C24050_049M","Margin of Error!!Total!!Sales and office occupations!!Transportation and warehousing, and utilities"
"C24050_050E","Estimate!!Total!!Sales and office occupations!!Information"
"C24050_050M","Margin of Error!!Total!!Sales and office occupations!!Information"
"C24050_051E","Estimate!!Total!!Sales and office occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_051M","Margin of Error!!Total!!Sales and office occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_052E","Estimate!!Total!!Sales and office occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_052M","Margin of Error!!Total!!Sales and office occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_053E","Estimate!!Total!!Sales and office occupations!!Educational services, and health care and social assistance"
"C24050_053M","Margin of Error!!Total!!Sales and office occupations!!Educational services, and health care and social assistance"
"C24050_054E","Estimate!!Total!!Sales and office occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_054M","Margin of Error!!Total!!Sales and office occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_055E","Estimate!!Total!!Sales and office occupations!!Other services, except public administration"
"C24050_055M","Margin of Error!!Total!!Sales and office occupations!!Other services, except public administration"
"C24050_056E","Estimate!!Total!!Sales and office occupations!!Public administration"
"C24050_056M","Margin of Error!!Total!!Sales and office occupations!!Public administration"
"C24050_057E","Estimate!!Total!!Natural resources, construction, and maintenance occupations"
"C24050_057M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations"
"C24050_058E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_058M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_059E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Construction"
"C24050_059M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Construction"
"C24050_060E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Manufacturing"
"C24050_060M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Manufacturing"
"C24050_061E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Wholesale trade"
"C24050_061M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Wholesale trade"
"C24050_062E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Retail trade"
"C24050_062M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Retail trade"
"C24050_063E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Transportation and warehousing, and utilities"
"C24050_063M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Transportation and warehousing, and utilities"
"C24050_064E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Information"
"C24050_064M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Information"
"C24050_065E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_065M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_066E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_066M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_067E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Educational services, and health care and social assistance"
"C24050_067M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Educational services, and health care and social assistance"
"C24050_068E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_068M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_069E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Other services, except public administration"
"C24050_069M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Other services, except public administration"
"C24050_070E","Estimate!!Total!!Natural resources, construction, and maintenance occupations!!Public administration"
"C24050_070M","Margin of Error!!Total!!Natural resources, construction, and maintenance occupations!!Public administration"
"C24050_071E","Estimate!!Total!!Production, transportation, and material moving occupations"
"C24050_071M","Margin of Error!!Total!!Production, transportation, and material moving occupations"
"C24050_072E","Estimate!!Total!!Production, transportation, and material moving occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_072M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_073E","Estimate!!Total!!Production, transportation, and material moving occupations!!Construction"
"C24050_073M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Construction"
"C24050_074E","Estimate!!Total!!Production, transportation, and material moving occupations!!Manufacturing"
"C24050_074M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Manufacturing"
"C24050_075E","Estimate!!Total!!Production, transportation, and material moving occupations!!Wholesale trade"
"C24050_075M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Wholesale trade"
"C24050_076E","Estimate!!Total!!Production, transportation, and material moving occupations!!Retail trade"
"C24050_076M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Retail trade"
"C24050_077E","Estimate!!Total!!Production, transportation, and material moving occupations!!Transportation and warehousing, and utilities"
"C24050_077M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Transportation and warehousing, and utilities"
"C24050_078E","Estimate!!Total!!Production, transportation, and material moving occupations!!Information"
"C24050_078M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Information"
"C24050_079E","Estimate!!Total!!Production, transportation, and material moving occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_079M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Finance and insurance, and real estate, and rental and leasing"
"C24050_080E","Estimate!!Total!!Production, transportation, and material moving occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_080M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_081E","Estimate!!Total!!Production, transportation, and material moving occupations!!Educational services, and health care and social assistance"
"C24050_081M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Educational services, and health care and social assistance"
"C24050_082E","Estimate!!Total!!Production, transportation, and material moving occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_082M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_083E","Estimate!!Total!!Production, transportation, and material moving occupations!!Other services, except public administration"
"C24050_083M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Other services, except public administration"
"C24050_084E","Estimate!!Total!!Production, transportation, and material moving occupations!!Public administration"
"C24050_084M","Margin of Error!!Total!!Production, transportation, and material moving occupations!!Public administration"
